iter	Logloss
0	0.3763574622
1	0.2429024552
2	0.1708880609
3	0.1281914875
4	0.1060715369
5	0.09231940386
6	0.08124607338
7	0.07173650554
8	0.06692946843
9	0.06055507835
10	0.05754617018
11	0.05545947906
12	0.05315556981
13	0.05197907639
14	0.0505611482
15	0.05015019356
16	0.04811487813
17	0.04741396655
18	0.04662338797
19	0.04565650777
